occ,y4_hhid,lvstckcat,lf03_01,lf03_02_1,lf03_02_2,lf03_02_3,lf03_02_4,lf03_03,lf03_04,lf03_05_1,lf03_05_2,lf03_05_3,lf03_05_4,lf03_06,lf03_07,lf03_08,lf03_09,lf03_10,lf03_11,lf03_12,lf03_13,lf03_14
1,1060-001,1,1,3,,,,3,,,,,,3,,1,2,3,,1,4,80000
2,1060-001,2,1,3,,,,3,,,,,,3,,1,2,3,,1,4,50000
3,1060-001,3,2,,,,,,,,,,,,,,,,,,,
4,1060-001,4,1,10,,,,3,,,,,,3,,,,,,3,,0
5,1060-001,5,1,,,,,,,,,,,,,,,,,,,
6,1060-001,6,1,22,,,,3,,,,,,,,,,,,,,
1,1061-001,1,1,15,13,,,3,,,,,,3,,3,,3,,3,,0
2,1061-001,2,1,2,,,,3,,,,,,3,,3,,1,4,1,4,4000
3,1061-001,3,2,,,,,,,,,,,,,,,,,,,
4,1061-001,4,1,10,,,,1,4,10,,,,3,,,,,,3,,0
5,1061-001,5,2,,,,,,,,,,,,,,,,,,,
6,1061-001,6,1,22,,,,3,,,,,,,,,,,,,,
1,1062-001,1,1,2,5,,,3,,,,,,3,,1,2,3,,1,4,16000
2,1062-001,2,2,,,,,,,,,,,,,,,,,,,
3,1062-001,3,2,,,,,,,,,,,,,,,,,,,
4,1062-001,4,1,11,,,,3,,,,,,3,,,,,,3,,0
5,1062-001,5,1,,,,,,,,,,,,,,,,,,,
6,1062-001,6,1,22,,,,3,,,,,,,,,,,,,,
1,1063-001,1,1,22,,,,1,4,5,,,,3,,3,,3,,3,,24000
2,1063-001,2,1,22,,,,1,4,4,,,,3,,3,,3,,3,,3500
3,1063-001,3,2,,,,,,,,,,,,,,,,,,,
4,1063-001,4,1,10,,,,3,,,,,,1,4,,,,,3,,2000
5,1063-001,5,2,,,,,,,,,,,,,,,,,,,
6,1063-001,6,2,,,,,,,,,,,,,,,,,,,
1,1064-001,,,,,,,,,,,,,,,,,,,,,
1,1076-001,1,1,22,,,,3,,,,,,3,,3,,3,,3,,0
2,1076-001,2,2,,,,,,,,,,,,,,,,,,,
3,1076-001,3,2,,,,,,,,,,,,,,,,,,,
4,1076-001,4,1,10,,,,3,,,,,,3,,,,,,2,4,0
5,1076-001,5,2,,,,,,,,,,,,,,,,,,,
6,1076-001,6,2,,,,,,,,,,,,,,,,,,,
1,1077-001,1,1,5,,,,3,,,,,,1,1,1,2,3,,2,1,45000
2,1077-001,2,1,13,,,,2,1,4,,,,2,1,1,2,3,,2,1,10000
3,1077-001,3,2,,,,,,,,,,,,,,,,,,,
4,1077-001,4,1,10,12,,,3,,,,,,1,4,,,,,3,,6000
